
<https://www.datatourisme.fr/ontology/core#AlpinePasture>,Alpage,<https://www.datatourisme.fr/ontology/core#NaturalHeritage>,Site naturel
<https://www.datatourisme.fr/ontology/core#ActivityProvider>,Prestataire d'activité,<https://www.datatourisme.fr/ontology/core#PlaceOfInterest>,Lieu
<https://www.datatourisme.fr/ontology/core#AccompaniedPractice>,Accompagnement,<https://www.datatourisme.fr/ontology/core#Practice>,Pratique
<https://www.datatourisme.fr/ontology/core#AntiqueAndSecondhandGoodDealer>,Antiquaire et brocanteur,<https://www.datatourisme.fr/ontology/core#Store>,Commerce de détail
<https://www.datatourisme.fr/ontology/core#Apartment>,Appartement,<https://www.datatourisme.fr/ontology/core#AccommodationProduct>,Produit d'hébergement
<https://www.datatourisme.fr/ontology/core#AccommodationFeatureSpecification>,Spécification d'équipement-service d'hébergement,<https://www.datatourisme.fr/ontology/core#FeatureSpecification>,Spécification d'équipement et service
<https://www.datatourisme.fr/ontology/core#AccommodationProduct>,Produit d'hébergement,<https://www.datatourisme.fr/ontology/core#Product>,Produit
<https://www.datatourisme.fr/ontology/core#Abbey>,Abbaye,<https://www.datatourisme.fr/ontology/core#ReligiousSite>,Site religieux
<https://www.datatourisme.fr/ontology/core#Airfield>,Aérodrôme,<https://www.datatourisme.fr/ontology/core#Transport>,Transport
<https://www.datatourisme.fr/ontology/core#Airport>,Aéroport,<https://www.datatourisme.fr/ontology/core#Transport>,Transport
<https://www.datatourisme.fr/ontology/core#ArcheologicalSite>,Site archéologique,<https://www.datatourisme.fr/ontology/core#CulturalSite>,Site culturel
<https://www.datatourisme.fr/ontology/core#ArtGalleryOrExhibitionGallery>,"Galerie d'art, galerie d'exposition",<https://www.datatourisme.fr/ontology/core#Store>,Commerce de détail
<https://www.datatourisme.fr/ontology/core#ATM>,"Distributeur automatique de billets, DAB",<https://www.datatourisme.fr/ontology/core#ConvenientService>,Service pratique
<https://www.datatourisme.fr/ontology/core#ArtistSigning>,Dédicace et rencontre d'artiste,<https://www.datatourisme.fr/ontology/core#CulturalEvent>,Évènement culturel
<https://www.datatourisme.fr/ontology/core#Aqueduct>,Aqueduc,<https://www.datatourisme.fr/ontology/core#RemarkableBuilding>,Bâtiment civil remarquable
<https://www.datatourisme.fr/ontology/core#MountainResort>,Station de montagne,<https://www.datatourisme.fr/ontology/core#CityHeritage>,Ville et village
<https://www.datatourisme.fr/ontology/core#Museum>,Musée,<https://www.datatourisme.fr/ontology/core#CulturalSite>,Site culturel
<https://www.datatourisme.fr/ontology/core#Mountain>,Montagne,<https://www.datatourisme.fr/ontology/core#NaturalHeritage>,Site naturel
<https://www.datatourisme.fr/ontology/core#NaturalCuriosity>,Curiosité naturelle,<https://www.datatourisme.fr/ontology/core#NaturalHeritage>,Site naturel
<https://www.datatourisme.fr/ontology/core#NaturalPark>,Parc naturel,<https://www.datatourisme.fr/ontology/core#NaturalHeritage>,Site naturel
<https://www.datatourisme.fr/ontology/core#MultiActivity>,Multiactivités,<https://www.datatourisme.fr/ontology/core#Practice>,Pratique
<https://www.datatourisme.fr/ontology/core#MountainRestaurant>,Restaurant d'altitude / Restaurant d'alpage,<https://www.datatourisme.fr/ontology/core#Restaurant>,Restaurant
<https://www.datatourisme.fr/ontology/core#NaturalHeritageFeatureSpecification>,Spécification d'équipement de patrimoine naturel,<https://www.datatourisme.fr/ontology/core#FeatureSpecification>,Spécification d'équipement et service
<https://www.datatourisme.fr/ontology/core#Mosque>,Mosquée,<https://www.datatourisme.fr/ontology/core#ReligiousSite>,Site religieux
<https://www.datatourisme.fr/ontology/core#MooringArea>,Zone ou port de mouillage,<https://www.datatourisme.fr/ontology/core#SportsAndLeisurePlace>,"Site sportif, récréatif et de loisirs"
<https://www.datatourisme.fr/ontology/core#MultiPurposeRoomOrCommunityRoom>,"Salle polyvalente, salle des fêtes",<https://www.datatourisme.fr/ontology/core#SportsAndLeisurePlace>,"Site sportif, récréatif et de loisirs"
<https://www.datatourisme.fr/ontology/core#NauticalCentre>,Base nautique / centre nautique,<https://www.datatourisme.fr/ontology/core#SportsAndLeisurePlace>,"Site sportif, récréatif et de loisirs"
<https://www.datatourisme.fr/ontology/core#CampingAndCaravanning>,Hôtellerie de plein air,<https://www.datatourisme.fr/ontology/core#Accommodation>,Hébergement
<https://www.datatourisme.fr/ontology/core#CollectiveAccommodation>,Hébergement collectif,<https://www.datatourisme.fr/ontology/core#Accommodation>,Hébergement
<https://www.datatourisme.fr/ontology/core#ClubOrHolidayVillage>,Club et village vacances,<https://www.datatourisme.fr/ontology/core#CollectiveAccommodation>,Hébergement collectif
<https://www.datatourisme.fr/ontology/core#CityHeritage>,Ville et village,<https://www.datatourisme.fr/ontology/core#CulturalSite>,Site culturel
<https://www.datatourisme.fr/ontology/core#BarOrPub>,"Bar, bar à thème",<https://www.datatourisme.fr/ontology/core#FoodEstablishment>,Restauration
